email,first_name,last_name,phone_num,class_size,school_id,is_active,password,password_confirmation,role
"test@cmu.edu",Cat,Price,123-456-7890,,,true,poiwerhk3jhiusyd8932u,poiwerhk3jhiusyd8932u,admin
"mxiao@yahoo.com",Susan,Perry,412-340-7316,,,true,secret,secret,admin
fangorn@hotmail.com,Marsha,Owens,597-307-7959,20,1,true,6d83a8c084731ee73eb5f9398b923183,6d83a8c084731ee73eb5f9398b923183,teacher
mthurn@live.com,Robert,Montoya,219-977-4148,,,true,secret,secret,volunteer
euice@outlook.com,Matthew,Obrien,219-808-2489,,,true,secret,secret,volunteer
rgarcia@optonline.net,Holly,Lawson,412-733-7854,20,1,true,secret,secret,teacher
firstpr@att.net,Pam,Phillips,307-276-8755,30,1,true,secret,secret,teacher
webdragon@comcast.net,Chandra,Roberts,412-853-7126,40,1,true,secret,secret,teacher
jguyer@aol.com,Mary,Urbaniak,412-363-8145,30,1,true,secret,secret,teacher
sakusha@yahoo.com,Anthony,Butz,412-452-7041,40,1,true,secret,secret,teacher
crandall@sbcglobal.net,Ronald,Hatch,412-439-0310,20,1,true,secret,secret,teacher
