email,first_name,last_name,phone_num,class_size,school_id,is_active,password,password_confirmation,role
beebotteptest1@mailinator.com,Cat,Price,123-456-7890,,,true,poiwerhk3jhiusyd8932u,poiwerhk3jhiusyd8932u,manager
beebotteptest2@mailinator.com,Susan,Perry,412-340-7316,,,true,123secret,123secret,manager
beebotteptest3@mailinator.com,Volunteer,Volunteer,412-340-7316,,,true,123secret,123secret,volunteer
beebotteptest4@mailinator.com,Marsha,Owens,597-307-7959,20,1,true,6d83a8c084731ee73eb5f9398b923183,6d83a8c084731ee73eb5f9398b923183,teacher
beebotteptest5@mailinator.com,Robert,Montoya,219-977-4148,22,2,true,123secret,123secret,teacher
beebotteptest6@mailinator.com,Matthew,Obrien,219-808-2489,25,3,true,123secret,123secret,teacher
beebotteptest7@mailinator.com,Holly,Lawson,412-733-7854,20,2,true,123secret,123secret,teacher
beebotteptest8@mailinator.com,Pam,Phillips,307-276-8755,30,1,true,123secret,123secret,teacher
beebotteptest9@mailinator.com,Chandra,Roberts,412-853-7126,40,1,true,123secret,123secret,teacher
beebotteptest10@mailinator.com,Mary,Urbaniak,412-363-8145,30,1,true,123secret,123secret,teacher
beebotteptest12@mailinator.com,Anthony,Butz,412-452-7041,40,1,true,123secret,123secret,teacher
beebotteptest13@mailinator.com,Ronald,Hatch,412-439-0310,20,1,true,123secret,123secret,teacher
beebotteptest14@mailinator.com,Admin,Admin,412-142-1492,,,true,secretpassword,secretpassword,admin
